Título,Preço Original,Desconto,Disponibilidade,Pré-venda,Link
Kaguya Sama - Love Is War Vol. 24,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/kaguya-sama-love-is-war-vol-24
Kemono Jihen - Incidentes Sobrenaturais Vol. 4,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/kemono-jihen-incidentes-sobrenaturais-vol-4
Beast Complex Vol. 2,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/beast-complex-vol-2
Blue Period Vol. 9,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/blue-period-vol-9
One Piece Red,"R$ 49,90","R$ 24,95",Disponível,Não,https://panini.com.br/one-piece-red-alitr001r
Missão: Família Yozakura Vol. 7,"R$ 33,90","R$ 22,04",Disponível,Não,https://panini.com.br/missao-familia-yozakura-vol-7
The Killer Inside Vol. 4,"R$ 33,90","R$ 22,04",Disponível,Não,https://panini.com.br/the-killer-inside-vol-4
Fire Force Vol. 32,"R$ 33,90","R$ 13,56",Disponível,Não,https://panini.com.br/fire-force-vol-32
Kanojo Mo Kanojo - Confissões E Namoradas Vol. 5,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/kanojo-mo-kanojo-confissoes-e-namoradas-vol-5
Mao Vol. 12,"R$ 33,90","R$ 13,56",Disponível,Não,https://panini.com.br/mao-vol-12
Sword Art Online: Alicization Awakening Vol. 17,"R$ 39,90","R$ 25,94",Disponível,Não,https://panini.com.br/sword-art-online-alicization-awakening-vol-17
